title;rating;author;status;release_data;genres;synopsis;
Um Sonho de Liberdade (1994);92;Stephen King;Released; 17 March 1995;drama;Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
Poderoso Chefão (1972);9.1;Mario Puzo, Francis Ford Coppola;Released; 17 March 1995;crime,drama;The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Poderoso Chefão II (1974);9.0;Mario Puzo, Francis Ford Coppola;Released; 14 February 1975;crime,drama;The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.
Batman O Cavaleiro das Trevas(2008);9.0; Jonathan Nolan,Christopher Nolan;Released;18 July 2008;Action,Crime,Drama,Thriller;When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.
12 Homens e uma Sentença (1957);8.9;Reginald Rose,Reginald Rose;Released; 10 October 1958;crime,drama;A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
Lista de Schindler (1993);8.9;Thomas Keneally,Steven Zaillian;Released; 11 March 1994;Biography,Drama,History;In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
Senhor dos Anéis O Retorno do Rei (2003);8.9;J.R.R. Tolkien, Fran Walsh;Released; 25 December 2003;action,Adventure,drama,Fantasy;Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Pulp Fiction Tempo de Violência (1994);8.8;Quentin Tarantino,Roger Avary;Released; 3 March 1995;crime,drama;The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
Três Homens em Conflito (1966);8.8;Luciano Vincenzoni,Sergio Leone;Released; 11 January 1968;Western;A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
O Senhor dos Anéis A Sociedade do Anel (2001);8.8;J.R.R. Tolkien, Fran Walsh;Released; 1 January 2002;action,Adventure,drama,Fantasy;A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
